5,24,33,77,17,42,97,24,2,64,63,97,39,40,27,15,95,83,0,67,37,91
90,39,95,38,4,29,76,15,56,97,13,11,97,86,36,55,8,75,0,87,18,82
67,28,51,89,67,61,51,66,14,78,8,21,46,28,43,32,3,48,73,79,70,81
17,77,76,99,31,77,17,43,77,94,66,44,59,61,85,46,32,35,61,35,40,63
70,80,21,69,57,51,13,84,86,6,96,77,77,50,41,33,62,50,85,21,37,75
77,56,18,18,85,18,65,9,25,16,97,85,47,15,99,90,76,63,100,59,63,32
41,71,94,84,29,36,1,61,6,93,33,94,5,34,28,72,53,55,32,25,19,71
2,26,28,23,65,70,88,69,47,96,29,74,86,74,33,13,76,19,98,19,75,59
80,87,100,94,2,16,42,28,1,14,7,57,79,6,93,20,15,42,26,97,27,57
17,97,17,92,51,20,92,3,58,76,90,19,51,61,24,72,82,27,13,0,64,55
10,91,100,90,83,60,15,36,61,31,48,62,47,81,30,85,99,88,5,91,80,27
33,41,97,49,14,42,23,88,2,30,28,70,35,15,42,57,13,17,90,36,83,63
70,24,17,3,38,99,76,73,88,43,22,21,63,19,98,30,21,37,11,48,64,97
2,20,53,26,94,55,7,6,64,78,45,97,82,48,60,74,73,83,64,6,61,25
30,25,46,27,66,5,48,64,21,39,57,45,37,74,93,25,21,100,40,29,11,25
68,88,13,76,91,35,40,86,75,49,72,72,83,32,89,65,90,56,48,55,5,12
53,48,44,47,16,34,98,5,53,11,84,42,10,18,48,95,45,84,94,96,93,15
60,65,91,80,72,4,45,55,95,74,55,84,59,10,38,49,71,2,67,25,72,92
17,91,63,2,28,80,60,3,12,76,68,76,28,86,52,62,60,74,17,98,58,32
2,75,92,83,35,28,25,1,7,76,56,85,7,82,32,51,71,69,27,30,60,78
30,75,81,33,69,28,9,80,40,30,30,81,11,38,65,82,48,53,21,83,58,73
70,77,98,7,97,14,69,91,40,100,87,51,13,85,10,2,76,35,34,36,68,52
